Entry	Gene ontology IDs
Q02248	GO:0000122;Q62226	GO:0000122; GO:0001525; GO:0001569; GO:0001570; GO:0001656; GO:0001658; GO:0001708; GO:0001755; GO:0001822; GO:0001942; GO:0001944; GO:0001947; GO:0001948; GO:0002052; GO:0002053; GO:0002076; GO:0002320; GO:0003140; GO:0005113; GO:0005509; GO:0005539; GO:0005576; GO:0005578; GO:0005615; GO:0005622; GO:0005886; GO:0006355; GO:0006897; GO:0007165; GO:0007224; GO:0007228; GO:0007267; GO:0007368; GO:0007389; GO:0007398; GO:0007405; GO:0007411; GO:0007417; GO:0007442; GO:0007507; GO:0007596; GO:0008209; GO:0008270; GO:0008283; GO:0008284; GO:0009949; GO:0009952; GO:0009953; GO:0009986; GO:0010463; GO:0010468; GO:0010628; GO:0010629; GO:0014003; GO:0014706; GO:0014858; GO:0014902; GO:0016020; GO:0016539; GO:0021513; GO:0021521; GO:0021522; GO:0021794; GO:0021871; GO:0021904; GO:0021924; GO:0021930; GO:0021938; GO:0021940; GO:0021978; GO:0030010; GO:0030162; GO:0030177; GO:0030178; GO:0030323; GO:0030324; GO:0030326; GO:0030336; GO:0030539; GO:0030850; GO:0030878; GO:0030900; GO:0030901; GO:0030902; GO:0031016; GO:0031069; GO:0032435; GO:0033077; GO:0033089; GO:0033092; GO:0034244; GO:0034504; GO:0035115; GO:0035116; GO:0042127; GO:0042130; GO:0042177; GO:0042307; GO:0042475; GO:0042476; GO:0042481; GO:0042733; GO:0043010; GO:0043066; GO:0043237; GO:0043369; GO:0043588; GO:0045059; GO:0045060; GO:0045109; GO:0045121; GO:0045165; GO:0045445; GO:0045596; GO:0045597; GO:0045880; GO:0045893; GO:0045944; GO:0046638; GO:0046639; GO:0048468; GO:0048538; GO:0048546; GO:0048557; GO:0048568; GO:0048589; GO:0048598; GO:0048617; GO:0048643; GO:0048645; GO:0048646; GO:0048663; GO:0048706; GO:0048709; GO:0048714; GO:0048754; GO:0048839; GO:0048856; GO:0048859; GO:0048864; GO:0051146; GO:0051155; GO:0051781; GO:0060020; GO:0060021; GO:0060070; GO:0060173; GO:0060174; GO:0060425; GO:0060428; GO:0060438; GO:0060439; GO:0060441; GO:0060442; GO:0060445; GO:0060447; GO:0060458; GO:0060459; GO:0060463; GO:0060484; GO:0060516; GO:0060523; GO:0060662; GO:0060664; GO:0060684; GO:0060685; GO:0060738; GO:0060768; GO:0060769; GO:0060782; GO:0060783; GO:0060840; GO:0060916; GO:0060979; GO:0061053; GO:0061189; GO:0071285; GO:0071542; GO:0072136; GO:0090090; GO:0090370; GO:0097190; GO:1900180; GO:1904339; GO:1905327; GO:2000062; GO:2000063; GO:2000357; GO:2000358; GO:2000729; GO:2001054
Q01705	GO:0000122; GO:0000139; GO:0001047; GO:0001190; GO:0001669; GO:0001701; GO:0001708; GO:0001726; GO:0001837; GO:0001889; GO:0001947; GO:0002040; GO:0002051; GO:0002052; GO:0002193; GO:0002437; GO:0003157; GO:0003160; GO:0003162; GO:0003169; GO:0003180; GO:0003181; GO:0003184; GO:0003192; GO:0003197; GO:0003198; GO:0003203; GO:0003207; GO:0003208; GO:0003209; GO:0003213; GO:0003214; GO:0003219; GO:0003222; GO:0003241; GO:0003256; GO:0003270; GO:0003273; GO:0003344; GO:0003682; GO:0003700; GO:0004857; GO:0004872; GO:0005112; GO:0005509; GO:0005576; GO:0005634; GO:0005654; GO:0005737; GO:0005783; GO:0005789; GO:0005829; GO:0005856; GO:0005886; GO:0005887; GO:0005912; GO:0006357; GO:0006959; GO:0007219; GO:0007220; GO:0007221; GO:0007283; GO:0007368; GO:0007386; GO:0007409; GO:0007440; GO:0007492; GO:0007507; GO:0008284; GO:0008285; GO:0008544; GO:0008593; GO:0009912; GO:0009986; GO:0010001; GO:0010468; GO:0010718; GO:0010812; GO:0010832; GO:0014031; GO:0014807; GO:0016324; GO:0019899; GO:0021515; GO:0021915; GO:0030027; GO:0030154; GO:0030182; GO:0030216; GO:0030279; GO:0030324; GO:0030326; GO:0030334; GO:0030335; GO:0030513; GO:0030514; GO:0030900; GO:0031069; GO:0031100; GO:0031410; GO:0031490; GO:0031960; GO:0032495; GO:0032496; GO:0035116; GO:0035148; GO:0035914; GO:0035924; GO:0042127; GO:0042246; GO:0043065; GO:0043086; GO:0043235; GO:0043565; GO:0045070; GO:0045165; GO:0045596; GO:0045603; GO:0045607; GO:0045608; GO:0045618; GO:0045662; GO:0045665; GO:0045668; GO:0045747; GO:0045892; GO:0045893; GO:0045944; GO:0045955; GO:0046427; GO:0046533; GO:0046982; GO:0048103; GO:0048663; GO:0048708; GO:0048709; GO:0048711; GO:0048715; GO:0048754; GO:0048845; GO:0050434; GO:0050678; GO:0050679; GO:0050767; GO:0050768; GO:0055008; GO:0060038; GO:0060045; GO:0060253; GO:0060271; GO:0060317; GO:0060411; GO:0060412; GO:0060528; GO:0060548; GO:0060740; GO:0060768; GO:0060842; GO:0060843; GO:0060948; GO:0060956; GO:0060979; GO:0060982; GO:0061314; GO:0061344; GO:0061384; GO:0061419; GO:0070986; GO:0071372; GO:0071944; GO:0072017; GO:0072044; GO:0072144; GO:0072602; GO:0090051; GO:0090090; GO:0097150; GO:1901189; GO:1901201; GO:1902263; GO:1903849; GO:2000737; GO:2000811; GO:2000974; GO:2001027
P22725	GO:0000187; GO:0001667; GO:0001736; GO:0001756; GO:0001819; GO:0001843; GO:0001934; GO:0001938; GO:0001947; GO:0002009; GO:0002053; GO:0002741; GO:0003323; GO:0003344; GO:0003401; GO:0003402; GO:0003700; GO:0005102; GO:0005109; GO:0005110; GO:0005115; GO:0005125; GO:0005576; GO:0005578; GO:0005615; GO:0005788; GO:0006468; GO:0007165; GO:0007223; GO:0007254; GO:0007257; GO:0007267; GO:0007368; GO:0007409; GO:0007411; GO:0007413; GO:0007442; GO:0007494; GO:0008284; GO:0008584; GO:0008595; GO:0009887; GO:0009952; GO:0009986; GO:0010595; GO:0010800; GO:0010820; GO:0010976; GO:0016055; GO:0016477; GO:0019904; GO:0021891; GO:0021915; GO:0022008; GO:0030216; GO:0030324; GO:0030326; GO:0030514; GO:0030825; GO:0030901; GO:0032092; GO:0032148; GO:0032729; GO:0032755; GO:0032880; GO:0033138; GO:0034613; GO:0035108; GO:0035567; GO:0036342; GO:0036517; GO:0036518; GO:0038031; GO:0040037; GO:0042060; GO:0042472; GO:0042733; GO:0043032; GO:0043066; GO:0043507; GO:0043547; GO:0044212; GO:0045080; GO:0045165; GO:0045198; GO:0045599; GO:0045732; GO:0045766; GO:0045778; GO:0045807; GO:0045836; GO:0045860; GO:0045892; GO:0045893; GO:0045944; GO:0046330; GO:0046546; GO:0048022; GO:0048146; GO:0048341; GO:0048546; GO:0048570; GO:0048706; GO:0048806; GO:0048812; GO:0048843; GO:0048850; GO:0050679; GO:0050680; GO:0050718; GO:0050729; GO:0050919; GO:0051092; GO:0051216; GO:0051964; GO:0060021; GO:0060026; GO:0060028; GO:0060029; GO:0060065; GO:0060067; GO:0060068; GO:0060070; GO:0060071; GO:0060157; GO:0060324; GO:0060340; GO:0060599; GO:0060606; GO:0060638; GO:0060686; GO:0060744; GO:0060750; GO:0060760; GO:0060762; GO:0060775; GO:0060809; GO:0060907; GO:0061036; GO:0061053; GO:0061347; GO:0061348; GO:0061349; GO:0061350; GO:0061354; GO:0070245; GO:0071219; GO:0071222; GO:0071277; GO:0071346; GO:0071425; GO:0071542; GO:0071560; GO:0072201; GO:0090009; GO:0090037; GO:0090090; GO:0090103; GO:0090179; GO:0090630; GO:0097325; GO:1900020; GO:1902379; GO:1903827; GO:1904934; GO:1904938; GO:1904948; GO:1904953; GO:2000049; GO:2000052; GO:2000484
P10417	GO:0000209; GO:0000902; GO:0001503; GO:0001541; GO:0001656; GO:0001657; GO:0001658; GO:0001662; GO:0001776; GO:0001782; GO:0001822; GO:0001836; GO:0001952; GO:0002020; GO:0002260; GO:0002320; GO:0002326; GO:0002360; GO:0002520; GO:0002931; GO:0003014; GO:0005622; GO:0005634; GO:0005737; GO:0005739; GO:0005741; GO:0005783; GO:0005789; GO:0005829; GO:0006470; GO:0006582; GO:0006808; GO:0006874; GO:0006915; GO:0006974; GO:0006979; GO:0007015; GO:0007409; GO:0007569; GO:0008134; GO:0008283; GO:0008284; GO:0008285; GO:0008584; GO:0008625; GO:0008630; GO:0008631; GO:0008637; GO:0009636; GO:0009791; GO:0009887; GO:0010039; GO:0010224; GO:0010332; GO:0010468; GO:0010506; GO:0010507; GO:0010523; GO:0010559; GO:0014031; GO:0014042; GO:0014911; GO:0015267; GO:0016020; GO:0016049; GO:0016248; GO:0016337; GO:0018105; GO:0018107; GO:0019903; GO:0021747; GO:0022612; GO:0022898; GO:0030097; GO:0030183; GO:0030217; GO:0030279; GO:0030307; GO:0030308; GO:0030318; GO:0030336; GO:0030890; GO:0031069; GO:0031103; GO:0031625; GO:0031647; GO:0031965; GO:0031966; GO:0032469; GO:0032835; GO:0032848; GO:0032880; GO:0033033; GO:0033077; GO:0033138; GO:0033689; GO:0034097; GO:0035094; GO:0035265; GO:0040007; GO:0040018; GO:0042100; GO:0042149; GO:0042493; GO:0042542; GO:0042803; GO:0042981; GO:0043029; GO:0043066; GO:0043067; GO:0043085; GO:0043209; GO:0043375; GO:0043473; GO:0043496; GO:0043497; GO:0043524; GO:0043565; GO:0043583; GO:0045069; GO:0045636; GO:0045930; GO:0046671; GO:0046902; GO:0046930; GO:0046982; GO:0048041; GO:0048066; GO:0048070; GO:0048087; GO:0048536; GO:0048538; GO:0048545; GO:0048546; GO:0048589; GO:0048599; GO:0048743; GO:0048753; GO:0048873; GO:0050790; GO:0050853; GO:0051384; GO:0051402; GO:0051434; GO:0051607; GO:0051721; GO:0051726; GO:0051881; GO:0051924; GO:0070059; GO:0071310; GO:0071456; GO:0072593; GO:0097192; GO:2000134; GO:2000378; GO:2000811; GO:2001234; GO:2001240; GO:2001243
P21275	GO:0000122; GO:0000186; GO:0001501; GO:0001525; GO:0001568; GO:0001649; GO:0001656; GO:0001657; GO:0001658; GO:0001707; GO:0001759; GO:0001822; GO:0001823; GO:0001843; GO:0001934; GO:0001936; GO:0001938; GO:0001944; GO:0001958; GO:0002043; GO:0002062; GO:0002244; GO:0002320; GO:0003014; GO:0003130; GO:0003139; GO:0003148; GO:0003149; GO:0003151; GO:0003180; GO:0003184; GO:0003197; GO:0003323; GO:0003337; GO:0005125; GO:0005160; GO:0005576; GO:0005578; GO:0005615; GO:0007182; GO:0007224; GO:0007281; GO:0007492; GO:0007500; GO:0007507; GO:0008201; GO:0008284; GO:0008285; GO:0009791; GO:0009888; GO:0009948; GO:0010159; GO:0010453; GO:0010468; GO:0010595; GO:0010628; GO:0010629; GO:0010862; GO:0010942; GO:0021537; GO:0021904; GO:0021978; GO:0021983; GO:0030218; GO:0030224; GO:0030225; GO:0030324; GO:0030326; GO:0030335; GO:0030501; GO:0030509; GO:0030513; GO:0030900; GO:0030949; GO:0032092; GO:0032331; GO:0032967; GO:0033085; GO:0033088; GO:0034504; GO:0035116; GO:0035990; GO:0035993; GO:0039706; GO:0042056; GO:0042306; GO:0042326; GO:0042475; GO:0042476; GO:0042487; GO:0042733; GO:0043010; GO:0043065; GO:0043066; GO:0043401; GO:0043407; GO:0045165; GO:0045595; GO:0045597; GO:0045603; GO:0045606; GO:0045662; GO:0045666; GO:0045669; GO:0045778; GO:0045786; GO:0045839; GO:0045843; GO:0045892; GO:0045893; GO:0045944; GO:0048286; GO:0048333; GO:0048392; GO:0048593; GO:0048598; GO:0048646; GO:0048660; GO:0048661; GO:0048663; GO:0048701; GO:0048704; GO:0048706; GO:0048745; GO:0048754; GO:0050679; GO:0050680; GO:0050918; GO:0051145; GO:0051150; GO:0055007; GO:0055020; GO:0060113; GO:0060197; GO:0060235; GO:0060272; GO:0060348; GO:0060363; GO:0060391; GO:0060393; GO:0060395; GO:0060425; GO:0060429; GO:0060433; GO:0060438; GO:0060440; GO:0060441; GO:0060442; GO:0060449; GO:0060502; GO:0060503; GO:0060512; GO:0060548; GO:0060592; GO:0060684; GO:0060686; GO:0060687; GO:0060688; GO:0060976; GO:0061035; GO:0061036; GO:0061047; GO:0061149; GO:0061151; GO:0061155; GO:0061312; GO:0061626; GO:0070244; GO:0070374; GO:0070700; GO:0071363; GO:0071773; GO:0071893; GO:0072001; GO:0072015; GO:0072097; GO:0072101; GO:0072104; GO:0072125; GO:0072138; GO:0072161; GO:0072192; GO:0072193; GO:0072198; GO:0072200; GO:0072205; GO:0090184; GO:0090191; GO:0090194; GO:1901964; GO:1902895; GO:2000005; GO:2000007; GO:2000105; GO:2000137; GO:2001012; GO:2001237
